Date,Close,High,Low,Open,Volume
14-07-15,35297.55469,35495.65320870536,34253.03521205357,34289.05313,1539500
15-07-15,35693.75781,35801.811569752776,34901.36359264632,35225.524864404644,777500
22-07-15,37458.63281,37458.63281,34973.39659705529,35477.64742,1314900
23-07-15,38647.22266,39007.4018,37098.45231681035,37458.63146551724,1954500
24-07-15,36738.27734,38647.22704886642,36738.27734,38647.22704886642,1318000
27-07-15,36017.91797,37350.58093359375,35873.8463,36234.02548,732000
28-07-15,34559.1875,35297.55471599792,34523.16958702449,35153.48306409588,1081300
29-07-15,33856.84375,35549.68594,33856.84375,34649.23796542553,1573600
30-07-15,33856.84375,34685.255884308506,33856.84375,34217.02293882979,579900
31-07-15,35657.73828,36071.94433199179,33856.84241,33856.84241,1198400
03-08-15,35567.69531,35927.87450553798,34919.37276503164,35297.56091772152,761300
04-08-15,35189.50391,35603.70994,35063.44120034225,35567.69202397326,309100
05-08-15,35189.50391,35441.629318065505,34937.37849443449,35189.50391,566700
06-08-15,34126.97266,35207.51004906003,34000.90996042216,35153.48317941953,814000
07-08-15,33928.87891,34397.11184232352,33802.816192691746,33856.84307,432700
10-08-15,33928.87891,34217.02225152601,33820.825151771496,33946.88786532975,396300
11-08-15,33334.58594,34217.025003376555,33244.54113485954,34217.025003376555,801000
12-08-15,33622.72656,33622.72656,32416.126305570437,33136.48466791645,557300
13-08-15,33496.66406,34757.29120463709,33496.66406,33496.66406,733300
14-08-15,33496.66406,34072.95075604838,33496.66406,34072.95075604838,364100
18-08-15,33496.66406,34307.06722530242,33136.48487903226,33496.66406,677000
19-08-15,33568.69922,34325.07548870037,33496.66338351663,34072.95006538358,566300
20-08-15,33676.75391,34072.951011029414,33298.56576077874,34036.933092413106,559600
21-08-15,32416.125,33496.6625,32416.125,33496.6625,479100
24-08-15,29858.84961,31713.772112249324,29534.68839528046,31713.772112249324,1685900
25-08-15,29840.8457,31263.553494643937,29840.8457,30255.05176901026,689000
26-08-15,30219.0332,30669.25717814176,29534.692761099523,30219.0332,637800
27-08-15,31839.83984,32073.956313189337,30615.230618990383,30615.230618990383,1219500
28-08-15,30255.04883,33136.48204985119,30255.048828125004,32416.123744419645,751100
31-08-15,32055.95117,32055.95117,30561.207381276334,30615.234265273877,835900
01-09-15,30975.4082,32055.945698582847,30741.291745775798,32055.945698582847,564400
02-09-15,30831.33203,30849.340986875734,30255.045451226637,30615.22456374124,930100
03-09-15,31029.43359,31335.58586948636,30687.263403221124,31119.47838073128,629500
04-09-15,30687.26563,30777.310418500583,30597.22083149941,30687.265624999996,353800
07-09-15,30183.01367,30795.318245170794,30165.004713836886,30615.228664789676,326700
08-09-15,30165.00781,30273.061571828355,29912.88237406716,30183.01677238806,442300
09-09-15,29894.87109,30759.30110128012,29894.87109,30327.08609751506,531800
10-09-15,30074.95898,30201.021686704717,29750.797749812875,29876.86045214259,671600
11-09-15,30074.95898,30615.227708645212,30074.95898,30074.95898,681200
14-09-15,30273.05859,30543.192965496728,29786.816724605887,30201.022761284206,265000
15-09-15,29534.69531,29930.892444740854,29210.534022484757,29930.892444740854,637700
16-09-15,29282.57031,29894.874980781056,29246.55239083641,29696.77641,407000
17-09-15,30020.93164,30255.04808413317,29462.653967643968,29462.653967643968,625800
18-09-15,30849.34766,30849.34766,30092.971356447022,30327.087830195564,849500
21-09-15,30993.41797,31173.507556017576,30219.032743499418,30615.229835488088,355200
22-09-15,30435.13867,31335.586561575445,30381.111798492973,31335.586561575445,263800
23-09-15,30074.95898,30381.111261461454,29570.70817505614,30381.111261461454,413500
25-09-15,30092.9668,30435.13697589393,29606.724963532317,30399.119062312988,265000
28-09-15,29174.51563,30975.411651234568,29174.515625000004,30975.411651234568,274500
29-09-15,30795.31641,30795.316406249996,28454.15200109649,28958.40279605263,627500
30-09-15,30255.04883,30831.33547247024,30110.97716703869,30687.26381138393,589200
01-10-15,31191.51367,31443.63907107029,30219.029989264578,30309.074774691468,1032100
02-10-15,32019.92969,32272.05511811024,30867.356290424636,30975.41004640045,1451300
05-10-15,33568.69922,34433.12924155043,32380.107937399407,32416.125855016093,1585200
06-10-15,32308.07227,33820.82481317935,31875.857252038048,33568.69938858696,1200200
07-10-15,30615.22461,32776.299287683825,30543.188786764706,32776.299287683825,2147800
08-10-15,30921.38477,31479.662533670646,30687.268282251018,30795.32204380824,1771400
09-10-15,31281.55859,31605.719822700776,30975.406321963153,30993.415279127086,1523400
12-10-15,31929.88086,31929.88086,31281.55840537754,31281.55840537754,1002200
13-10-15,30975.4082,32109.972573355742,30633.237996230015,32109.972573355742,1236600
15-10-15,30957.39648,31119.47709424084,30615.226307991565,30615.226307991565,1061500
16-10-15,30831.33203,31227.529055016064,30705.26934186989,31101.466365635955,708900
19-10-15,31299.56641,31407.620145281933,30759.297711090334,30831.333537111623,1249500
20-10-15,31479.6582,31911.873189895596,31119.479047482837,31299.568625303917,1280000
21-10-15,32758.29688,33208.520856239695,31695.76827927433,31695.76827927433,2622800
22-10-15,31695.76953,32848.34297,31533.688891601563,32812.32504882813,1244600
23-10-15,33280.55859,33316.576514306005,32398.119540127842,32632.236023741883,1620600
26-10-15,33388.60938,33748.78854840885,32920.37645,33496.66312702266,1735800
27-10-15,33064.44922,33388.61048560049,32560.198359204795,33388.61048560049,1480600
28-10-15,32416.125,33280.555,32398.116041666664,33280.555,1081500
29-10-15,30903.36719,32236.02987507284,30867.349277025056,31911.868680798365,1990100
30-10-15,30939.39063,31623.731046274737,30471.15770518044,30975.408541909197,3202100
02-11-15,31317.57813,31605.721454499715,30921.381046937895,30921.381046937895,1924800
03-11-15,32308.07227,32560.197690217392,31497.66911514946,31659.749745244568,1902900
04-11-15,34757.29297,34865.34672927461,32632.23567843264,32776.30735913212,3401200
05-11-15,34559.1875,34793.30393,34235.026283220424,34721.268108389784,1021900
06-11-15,34649.23828,34901.36371572895,33856.84405860187,34577.202442827445,841500
09-11-15,34199.00781,34739.27649832149,33712.76599526066,34739.27649832149,1142700
10-11-15,33424.62891,34217.02312601024,33424.62891,34018.92457107017,1023600
11-11-15,33856.84375,34865.34548,33316.57496675532,33496.66456117021,1507500
12-11-15,35297.55469,35477.644252232145,34271.04416852679,34361.08895089286,1511000
13-11-15,34217.02734,35585.708437500005,34217.02734,34937.38581414474,670200
16-11-15,35117.46875,35243.53145833333,33640.73416666667,34217.020833333336,746300
17-11-15,36864.33594,37098.45238,35297.55663776258,35369.592467635564,1742400
18-11-15,35675.74609,37926.86586241166,35675.74609,36882.34628975265,2014400
19-11-15,35531.67578,36360.087887655216,35531.67578,36017.917669792194,605100
20-11-15,36918.36328,36954.38119664635,35981.897480945125,36324.06767721037,1104000
23-11-15,35657.73828,36738.27580492424,35657.73828,36378.09663036616,475000
24-11-15,35585.70313,36324.07044692561,35279.55082078694,35477.64937057186,414100
25-11-15,36306.0625,36684.250651041664,35855.83851066468,36161.99082,1247300
26-11-15,37170.49219,37170.49219,36360.08901480742,36666.24132449128,973400
27-11-15,36017.91797,37170.49134,35873.8463,36882.348,610500
30-11-15,35225.51953,36288.04798336848,35225.51953,36017.913631134965,2267500
01-12-15,36738.27734,36738.27734,35657.739774816175,36017.91896446078,1527900
02-12-15,36594.20313,37080.444997231796,36143.979169229824,36594.20313,1318800
03-12-15,37152.48047,37674.74025236306,36378.095272358216,36522.166936803194,1405300
04-12-15,36954.38281,37260.535106755604,36432.12301641691,36738.275310672514,930700
07-12-15,36522.16797,37638.72339974729,36522.16797,37098.454642813114,524200
08-12-15,36882.34766,37656.73288536072,36540.17743873596,36666.24015045166,1085100
09-12-15,36882.34766,36882.34766,36882.34766,36882.34766,0
10-12-15,37458.63281,37566.686560997594,37062.43573467548,37458.63281,915200
11-12-15,36594.20313,37404.60624538632,36161.98812746063,36954.382289616144,685200
14-12-15,34937.38281,36017.92042525773,34775.30217058634,35909.86666398196,1311300
15-12-15,35477.64453,35549.68035770939,34901.357919574875,35297.554965101524,862400
16-12-15,36666.24219,36666.24219,35621.72251811149,36017.919634086444,1329300
17-12-15,37098.45703,37818.81542020631,36576.197199256676,37458.63622572815,989900
18-12-15,37314.5625,37422.61625241313,36756.28477919884,37098.45499517374,804400
21-12-15,37314.5625,37548.678963561775,36774.293737934364,36774.293737934364,691700
22-12-15,38701.25,38755.27687296417,37638.721498371335,37638.721498371335,1108900
23-12-15,39007.40625,39007.40625,38611.20914127424,38755.28081717451,641800
28-12-15,38827.3125,39547.67080241187,38539.16917903525,38755.27666975881,544800
29-12-15,39313.55469,39619.70696862116,38827.31282924874,38827.31282924874,402200
30-12-15,39619.71094,39619.71094,38755.28088068182,39331.567585227276,828800
04-01-16,38701.25,39331.56351791531,37962.88273615635,39331.56351791531,504400
05-01-16,38467.13672,38971.387574613764,37854.83210805829,38178.993372542136,1735200
06-01-16,39439.61719,39457.626145119866,37926.86474743151,38467.13348,1459800
07-01-16,38917.35547,39475.63312702453,38503.14946422374,39475.63312702453,1086300
