epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.015746524557471275,0.0734839215874672,0.015746524557471275,0.001920689595863223,0.036052852869033813,0.001920689595863223
1,0.00043059655581600964,0.014707162044942379,0.00043059655581600964,0.0010429744143038988,0.0252193883061409,0.0010429744143038988
2,0.0003831337671726942,0.013461912050843239,0.0003831337671726942,0.0006836967659182847,0.020684484392404556,0.0006836967659182847
3,0.00036946599720977247,0.013095426373183727,0.00036946599720977247,0.0006370863993652165,0.019713399931788445,0.0006370863993652165
4,0.00035893821041099727,0.012849736958742142,0.00035893821041099727,0.0006521354080177844,0.019909551367163658,0.0006521354080177844
5,0.00033846625592559576,0.012269685976207256,0.00033846625592559576,0.0006455311086028814,0.019986938685178757,0.0006455311086028814
6,0.0003231426526326686,0.011849724687635899,0.0003231426526326686,0.0006868015043437481,0.02058367431163788,0.0006868015043437481
7,0.00031111121643334627,0.011787306517362595,0.00031111121643334627,0.0008486418519169092,0.02364921383559704,0.0008486418519169092
8,0.0003226821718271822,0.012068774551153183,0.0003226821718271822,0.0007708967314101756,0.022382495924830437,0.0007708967314101756
9,0.0002949611225631088,0.011384903453290462,0.0002949611225631088,0.0006664019310846925,0.020584849640727043,0.0006664019310846925
10,0.0002832653699442744,0.011342586018145084,0.0002832653699442744,0.000660038786008954,0.020527668297290802,0.000660038786008954
11,0.00032601540442556143,0.012441311962902546,0.00032601540442556143,0.0008410574519075453,0.02372441440820694,0.0008410574519075453
12,0.0002636097196955234,0.010868560522794724,0.0002636097196955234,0.0008649929659441113,0.024191513657569885,0.0008649929659441113
13,0.0002562834706623107,0.010623258538544178,0.0002562834706623107,0.0005663620540872216,0.018894964829087257,0.0005663620540872216
14,0.0002388499997323379,0.010288947261869907,0.0002388499997323379,0.000951770634856075,0.025832919403910637,0.000951770634856075
15,0.00024392663908656687,0.010493763722479343,0.00024392663908656687,0.00048257748130708933,0.017331011593341827,0.00048257748130708933
16,0.00025410845410078764,0.010907478630542755,0.00025410845410078764,0.0004260001005604863,0.01639099419116974,0.0004260001005604863
17,0.0002194673870690167,0.009915432892739773,0.0002194673870690167,0.0007449041586369276,0.022394469007849693,0.0007449041586369276
18,0.0002133084344677627,0.00976878497749567,0.0002133084344677627,0.0008424900588579476,0.024161020293831825,0.0008424900588579476
19,0.00021710143482778221,0.009945596568286419,0.00021710143482778221,0.0004568143922369927,0.01677219197154045,0.0004568143922369927
20,0.00020752669661305845,0.009724672883749008,0.00020752669661305845,0.0007657678797841072,0.02285529114305973,0.0007657678797841072
21,0.00019720934506040066,0.009400889277458191,0.00019720934506040066,0.00044715130934491754,0.01668073982000351,0.00044715130934491754
22,0.0001946216361830011,0.009472561068832874,0.0001946216361830011,0.00040438721771351993,0.015827590599656105,0.00040438721771351993
23,0.00019045243971049786,0.009306754916906357,0.00019045243971049786,0.0003818246186710894,0.015387817285954952,0.0003818246186710894
24,0.00017356674652546644,0.008676179684698582,0.00017356674652546644,0.00055994390277192,0.018666774034500122,0.00055994390277192
25,0.0002069700276479125,0.009942969307303429,0.0002069700276479125,0.0005745809176005423,0.019500331953167915,0.0005745809176005423
26,0.00018642602663021535,0.009136836044490337,0.00018642602663021535,0.00039032349013723433,0.015497563406825066,0.00039032349013723433
27,0.00022908527171239257,0.010638381354510784,0.00022908527171239257,0.00042971616494469345,0.01638399250805378,0.00042971616494469345
28,0.00015765141870360821,0.008408788591623306,0.00015765141870360821,0.0003625515673775226,0.01493725087493658,0.0003625515673775226
29,0.00015427199832629412,0.00824352353811264,0.00015427199832629412,0.0005986480973660946,0.02007281221449375,0.0005986480973660946
30,0.0001551403693156317,0.008434630930423737,0.0001551403693156317,0.0005663632764481008,0.018909618258476257,0.0005663632764481008
31,0.000163477030582726,0.0084795281291008,0.000163477030582726,0.0003528575471136719,0.014669906347990036,0.0003528575471136719
32,0.00014608426135964692,0.008041455410420895,0.00014608426135964692,0.0003279256634414196,0.014097598381340504,0.0003279256634414196
33,0.00015518158033955842,0.008498755283653736,0.00015518158033955842,0.0005607670755125582,0.018866736441850662,0.0005607670755125582
34,0.00014431735326070338,0.008069353178143501,0.00014431735326070338,0.00037505372893065214,0.015215207822620869,0.00037505372893065214
35,0.00015337960212491453,0.008595887571573257,0.00015337960212491453,0.00048628123477101326,0.017830999568104744,0.00048628123477101326
36,0.00014184672909323126,0.008135266602039337,0.00014184672909323126,0.0007247537723742425,0.022555161267518997,0.0007247537723742425
37,0.0001394064020132646,0.008150452747941017,0.0001394064020132646,0.0004293561214581132,0.016517939046025276,0.0004293561214581132
38,0.00013822270557284355,0.007952050305902958,0.00013822270557284355,0.00036258503678254783,0.014924521557986736,0.00036258503678254783
39,0.0001408273383276537,0.008137580007314682,0.0001408273383276537,0.0003919496666640043,0.015598177909851074,0.0003919496666640043
40,0.00012141510524088517,0.007372046820819378,0.00012141510524088517,0.0003531286492943764,0.014690397307276726,0.0003531286492943764
41,0.00012242711090948433,0.0074634007178246975,0.00012242711090948433,0.0004830279212910682,0.01766791008412838,0.0004830279212910682
42,0.00013467756798490882,0.007909353822469711,0.00013467756798490882,0.0005130444187670946,0.018299436196684837,0.0005130444187670946
