epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.004924437031149864,0.037518225610256195,0.004924437031149864,0.0013234151992946863,0.02765291929244995,0.0013234151992946863
1,0.00041047591366805136,0.01387383509427309,0.00041047591366805136,0.0011966768652200699,0.027150781825184822,0.0011966768652200699
2,0.0003484154585748911,0.012654529884457588,0.0003484154585748911,0.0011337670730426908,0.026176705956459045,0.0011337670730426908
3,0.00030091870576143265,0.011417905800044537,0.00030091870576143265,0.0009172127465717494,0.02231474034488201,0.0009172127465717494
4,0.0002886042930185795,0.011193758808076382,0.0002886042930185795,0.0008537684916518629,0.021211832761764526,0.0008537684916518629
5,0.00026212423108518124,0.01083262637257576,0.00026212423108518124,0.0008302571950480342,0.020894628018140793,0.0008302571950480342
6,0.00027662338106893003,0.011372625827789307,0.00027662338106893003,0.0014554131776094437,0.030087942257523537,0.0014554131776094437
7,0.0002462330739945173,0.010613837279379368,0.0002462330739945173,0.0006939070881344378,0.018475012853741646,0.0006939070881344378
8,0.0002208310179412365,0.009949264116585255,0.0002208310179412365,0.0009366799495182931,0.022815827280282974,0.0009366799495182931
9,0.0002063584397546947,0.009561234153807163,0.0002063584397546947,0.000826418399810791,0.021054409444332123,0.000826418399810791
10,0.00019647595763672143,0.009404852986335754,0.00019647595763672143,0.0006429537897929549,0.017964690923690796,0.0006429537897929549
11,0.00021489606297109276,0.009855939075350761,0.00021489606297109276,0.0006896076956763864,0.018417418003082275,0.0006896076956763864
12,0.0001859665208030492,0.009063881821930408,0.0001859665208030492,0.0006524487980641425,0.01777169108390808,0.0006524487980641425
13,0.00017809019482228905,0.008856046013534069,0.00017809019482228905,0.0005902255652472377,0.01676480658352375,0.0005902255652472377
14,0.00017161652795039117,0.00879746675491333,0.00017161652795039117,0.000918908859603107,0.023402202874422073,0.000918908859603107
15,0.000170050683664158,0.00872837658971548,0.000170050683664158,0.0005712824640795588,0.01614878512918949,0.0005712824640795588
16,0.00015464384341612458,0.008412003517150879,0.00015464384341612458,0.0007448747055605054,0.019705120474100113,0.0007448747055605054
17,0.0001589792809681967,0.008555278182029724,0.0001589792809681967,0.0013580800732597709,0.030977660790085793,0.0013580800732597709
18,0.00019436251022852957,0.009514926932752132,0.00019436251022852957,0.0006436817930079997,0.0176850613206625,0.0006436817930079997
19,0.0001411668345099315,0.007985281758010387,0.0001411668345099315,0.0005660771275870502,0.016007833182811737,0.0005660771275870502
20,0.00014026626013219357,0.007965312339365482,0.00014026626013219357,0.000560571497771889,0.015772897750139236,0.000560571497771889
21,0.00012839237751904875,0.007510765455663204,0.00012839237751904875,0.000522258342243731,0.014831647276878357,0.000522258342243731
22,0.00012025664182147011,0.007321824319660664,0.00012025664182147011,0.0007624836871400476,0.020143698900938034,0.0007624836871400476
23,0.00012022334703942761,0.007305277045816183,0.00012022334703942761,0.0005157332052476704,0.014614755287766457,0.0005157332052476704
24,0.0001104015827877447,0.00698670232668519,0.0001104015827877447,0.0008336485479958355,0.021556995809078217,0.0008336485479958355
25,0.00011566758621484041,0.007279825862497091,0.00011566758621484041,0.0005742904613725841,0.0158808883279562,0.0005742904613725841
26,0.000137090974021703,0.008106180466711521,0.000137090974021703,0.0005074354121461511,0.014090600423514843,0.0005074354121461511
27,0.00010849645332200453,0.006919045466929674,0.00010849645332200453,0.0005453918129205704,0.01535749714821577,0.0005453918129205704
28,0.00012221587530802935,0.007517764810472727,0.00012221587530802935,0.0005007342551834881,0.014004784636199474,0.0005007342551834881
29,0.00010334917897125706,0.006786873564124107,0.00010334917897125706,0.0005674154963344336,0.01564093865454197,0.0005674154963344336
30,0.00010884333460126072,0.007187931798398495,0.00010884333460126072,0.0007353067630901933,0.019357526674866676,0.0007353067630901933
31,0.00012273988977540284,0.0075197662226855755,0.00012273988977540284,0.0006150690605863929,0.016551315784454346,0.0006150690605863929
32,0.00010629900498315692,0.007068445906043053,0.00010629900498315692,0.0005375986220315099,0.014701771549880505,0.0005375986220315099
33,9.800073894439265e-05,0.006552889011800289,9.800073894439265e-05,0.0005730917328037322,0.0158564280718565,0.0005730917328037322
34,9.848063200479373e-05,0.006792296655476093,9.848063200479373e-05,0.0005981974536553025,0.016378119587898254,0.0005981974536553025
35,9.310639870818704e-05,0.006499306298792362,9.310639870818704e-05,0.0005170225049369037,0.01394981611520052,0.0005170225049369037
36,9.085766214411706e-05,0.006400954909622669,9.085766214411706e-05,0.0005282977945171297,0.014513140544295311,0.0005282977945171297
37,8.377742778975517e-05,0.006003647111356258,8.377742778975517e-05,0.000558994070161134,0.01499511580914259,0.000558994070161134
38,0.00010684217704692855,0.007026235572993755,0.00010684217704692855,0.0008009019074961543,0.02048437111079693,0.0008009019074961543
