Date,Close,High,Low,Open,Volume
2015-05-13,1495.7816162109375,1520.9914187313466,1495.7816162109375,1508.386517471142,33574400
2015-05-15,1508.38671875,1520.9916216922004,1504.185084435933,1516.7899873781337,35772600
2015-05-18,1516.7899169921875,1520.9915511112795,1504.1850146349118,1512.5882828730955,50539700
2015-05-19,1478.97509765625,1512.5881680575285,1462.168562455611,1504.1849004572089,117616600
2015-05-20,1512.5882568359375,1520.9915249294704,1491.580086602105,1491.580086602105,81791100
2015-05-21,1537.798095703125,1537.798095703125,1520.9915591380636,1525.1931932793289,62265100
2015-05-22,1546.2012939453125,1550.402927896251,1537.7980260434358,1546.2012939453125,49622700
2015-05-25,1537.798095703125,1550.4029981269211,1529.3948274205943,1546.201363985656,11659600
2015-05-26,1553.931640625,1558.1773554900956,1541.194496029713,1541.194496029713,34391800
2015-05-27,1477.509033203125,1553.9319142308727,1477.509033203125,1536.9490517802622,39187100
2015-05-28,1490.2459716796875,1519.9659768129006,1469.0173965845354,1502.9831167367788,93121900
2015-05-29,1562.4232177734375,1562.4232177734375,1477.5089124596636,1494.4917735224185,173924300
2015-06-01,1519.9661865234375,1549.686195757136,1498.737608499367,1536.9490489426937,33383300
2015-06-03,1494.491943359375,1541.1948165893555,1494.491943359375,1528.4576693448155,31767200
2015-06-04,1498.737548828125,1515.7204105712199,1498.737548828125,1515.7204105712199,16269100
2015-06-05,1477.509033203125,1498.7376112663883,1473.2633175904723,1494.4918956537356,29460100
2015-06-08,1443.543212890625,1502.9832275390625,1435.0517822265626,1486.0003662109375,28845600
2015-06-09,1396.8402099609375,1426.5602144281916,1350.13734579811,1426.5602144281916,53959500
2015-06-10,1426.5601806640625,1435.0516103108723,1392.594462076823,1401.0858917236328,64491800
2015-06-11,1430.80615234375,1443.5432991005193,1422.3147211725704,1439.2975835149296,21957800
2015-06-12,1435.0516357421875,1435.0516357421875,1409.5773463503144,1435.0516357421875,17369300
2015-06-15,1358.6287841796875,1435.0516532897948,1358.6287841796875,1435.0516532897948,16792900
2015-06-16,1375.611572265625,1409.5772900993443,1358.6287133487656,1358.6287133487656,22319600
2015-06-17,1418.06884765625,1426.5602778817365,1392.5945569797905,1401.085987205277,34708500
2015-06-18,1439.2972412109375,1443.542955786781,1418.0686683317201,1418.0686683317201,24669700
2015-06-19,1405.331787109375,1452.0346561673905,1405.331787109375,1452.0346561673905,31694000
2015-06-22,1396.8402099609375,1422.314499504298,1396.8402099609375,1422.314499504298,19062800
2015-06-23,1392.5947265625,1418.0690203410823,1392.5947265625,1409.5775890815548,23296700
