Date,Close,High,Low,Open,Volume
13-05-15,265.3859863,268.23959908434136,259.67876081569216,263.9591799500168,40996700
15-05-15,258.2519226074219,263.95914741642565,256.8251164051709,259.6787288096728,51584200
18-05-15,251.11788940429688,261.10553273287684,248.26427702470258,256.8251141634854,42190600
19-05-15,255.39833068847656,255.39833068847656,251.11791173839038,251.11791173839038,11427800
20-05-15,253.97154235839844,256.8251551938861,251.1179295229108,255.39834877614223,16965900
21-05-15,251.11788940429688,255.39830797368828,251.11788940429685,251.11788940429685,22918000
22-05-15,252.54473876953125,253.9715452032574,251.11793233580508,252.54473876953122,12946500
25-05-15,249.6911163330078,252.54472909109933,249.6911163330078,252.54472909109933,4120800
26-05-15,256.8251953,261.10561523437497,249.69116210937497,251.1179688,74172600
27-05-15,255.39833068847656,258.2519433218674,251.11791173839038,255.39833068847656,98321400
28-05-15,256.8251953,259.6788086,253.971582,258.252002,65621500
29-05-15,245.41067504882812,256.8251250510992,245.4106750488281,255.3983188008153,52343000
01-06-15,251.11788940429688,252.5446956,246.83747083490545,251.11788940429685,11883400
03-06-15,263.9591979980469,263.9591979980469,256.8251656197213,256.8251656197213,84589000
04-06-15,253.97154235839844,263.9591872826051,253.97154235839844,263.9591872826051,22566200
05-06-15,255.39833068847656,256.82513700517194,251.11791173839038,252.54471805508578,15468100
08-06-15,246.83749389648438,256.82513815819186,246.83749389648438,253.9715255119897,10203700
09-06-15,238.27667236328125,249.69112373397738,236.84986594194424,249.69112373397738,32388000
10-06-15,236.84988403320312,242.55711015448512,236.84988403320312,239.70349709384413,35508000
11-06-15,239.70347595214844,241.1302823566255,231.14263752528598,239.70347595214844,25836500
12-06-15,236.84988403320312,241.13030362416464,236.84988403320312,241.13030362416464,21243300
15-06-15,218.3013458251953,233.99621382569953,215.44773346146724,233.99621382569953,21425100
16-06-15,222.5818328857422,228.2890594,218.30141302255484,221.15502626467975,33048600
17-06-15,229.7158203,231.14262664984471,225.43540130046583,225.43540130046583,22258800
18-06-15,221.1549835205078,229.71582159226944,221.15498352050784,229.71582159226944,18689500
19-06-15,231.1426239013672,231.1426239013672,222.58178597909432,226.86220494023075,34595600
22-06-15,225.43544006347656,232.56947297687773,225.43544006347656,232.56947297687773,8531100
23-06-15,224.0086212158203,229.71584723405778,222.58181471126093,228.2890407294984,26189500
24-06-15,225.43544006347656,226.8622466461568,222.5818268981161,222.5818268981161,19120800
25-06-15,222.5818328857422,225.4354461278671,221.15502626467975,222.5818328857422,19526100
26-06-15,224.0086212158203,224.0086212158203,219.7282017021422,222.58181471126093,13424100
29-06-15,216.8745880126953,224.0086205131129,216.8745880126953,221.15500751294587,26013600
30-06-15,216.8745880126953,221.15500751294587,216.8745880126953,216.8745880126953,29527600
01-07-15,215.44766235351562,219.7280794863669,215.44766235351562,216.87446806446604,17910800
